DEBUG 2017-07-04 00:21:12,338 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2017-07-04 00:21:13,338 [1    ] Abp.Modules.AbpModuleManager             - Found 24 ABP modules in total.
DEBUG 2017-07-04 00:21:13,347 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: DM.UBP.Web.UbpWebModule, DM.UBP.Web, Version=4.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,350 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.Mvc.AbpWebMvcModule, Abp.Web.Mvc, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,350 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebModule, Abp.Web, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,350 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebCommonModule, Abp.Web.Common, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,351 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpKernelModule, Abp, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,351 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpZeroOwinModule, Abp.Zero.Owin, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,351 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCoreModule, Abp.Zero, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,351 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCommonModule, Abp.Zero.Common, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,352 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: DM.UBP.EF.UbpEFModule, DM.UBP.EF, Version=4.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,352 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.EntityFramework.AbpZeroEntityFrameworkModule, Abp.Zero.EntityFramework, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
DEBUG 2017-07-04 00:21:13,352 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFramework.AbpEntityFrameworkModule, Abp.EntityFramework, Version=2.1.2.0, Culture=neutral, PublicKeyToken=null
